feature,importance
"Production Countries_['United States of America', 'Canada']",1.329017405750722
"Production Countries_['Japan', 'United States of America']",1.3121410238132505
Production Countries_['Spain'],1.3026208100554606
"Production Countries_['China', 'Hungary', 'Spain', 'United States of America']",1.3011880167752463
"Production Countries_['Iceland', 'United States of America', 'United Kingdom']",1.2981994157950334
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Bồ Đào Nha', 'Tiếng Tây Ban Nha']",1.2916032041759475
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào', 'Tiếng Trung', 'Hong Kong']",1.2735827066232415
"Spoken Languages_['Tiếng Anh', 'Tiếng Việt']",1.2667039538611962
"Spoken Languages_['Tiếng Trung', 'Tiếng Tây Ban Nha']",1.2612801525602628
"Production Countries_['Canada', 'United States of America', 'Australia']",1.242745719317684
"Spoken Languages_['Tiếng Anh', 'Tiếng Tây Ban Nha', 'Tiếng Bungari']",1.2302424631652105
"Production Countries_['China', 'Hong Kong']",1.2251306230866614
"Production Countries_['China', 'France', 'Hong Kong', 'Taiwan']",1.2183988907198355
"Production Countries_['Canada', 'China', 'United States of America']",1.2161204700202548
"Spoken Languages_['Tiếng Anh', 'Tiếng Gruzia']",1.19376747748077
"Spoken Languages_['Tiếng Tây Ban Nha', 'Tiếng Anh', 'Tiếng Ukraina']",1.1923903736497174
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý', 'Tiếng Nhật']",1.1805442171361682
"Spoken Languages_['Tiếng Trung', 'Tiếng Hàn']",1.1801430480179227
"Spoken Languages_['Tiếng Anh', 'Latin', 'Tiếng Bồ Đào Nha']",1.1722005584530621
"Production Countries_['United States of America', 'Malaysia', 'Singapore']",1.1693042383749417
Production Countries_['United Arab Emirates'],1.1570646201178774
"Spoken Languages_['Tiếng Hàn', 'Tiếng Lào', 'Tiếng Tây Ban Nha', 'Tiếng Anh']",1.1551442461613812
"Production Countries_['China', 'Japan', 'Canada', 'United States of America']",1.1538278392501145
"Production Countries_['Bulgaria', 'Spain']",1.1512695601870033
"Spoken Languages_['Tiếng Anh', 'Tiếng Lào']",1.1469610575118874
"Production Countries_['Australia', 'Germany', 'United States of America']",1.136242454510089
"Production Countries_['Japan', 'United Kingdom', 'United States of America']",1.1357995506269907
"Spoken Languages_['Hong Kong', 'Tiếng Nhật', 'Tiếng Trung']",1.1338842744768824
"Spoken Languages_['Tiếng Anh', 'Tiếng Pháp', 'Tiếng Indonesia', 'Tiếng Ý', 'Tiếng Bồ Đào Nha']",1.130790261804385
"Production Countries_['Australia', 'United States of America', 'United Kingdom']",1.130790261804385
"Spoken Languages_['Tiếng Ả Rập', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Đức']",1.1244394956884454
Spoken Languages_['Tiếng Na Uy'],1.1137504951474697
Production Countries_['Norway'],1.1137504951474697
"Production Countries_['Belgium', 'United Kingdom', 'United States of America']",1.1126854995686188
"Production Countries_['Canada', 'Germany', 'United Kingdom', 'United States of America']",1.1012195178965454
"Production Countries_['United States of America', 'United Kingdom']",1.1012097362164062
"Spoken Languages_['Tiếng Hy Lạp', 'Tiếng Anh']",1.0947463036436442
"Spoken Languages_['Tiếng Anh', 'Tiếng Đức', 'Tiếng Phần Lan', 'Tiếng Nhật', 'Hong Kong']",1.085000463201793
"Spoken Languages_['Tiếng Hà Lan', 'Tiếng Đan Mạch', 'Tiếng Đức', 'Tiếng Pháp', 'Tiếng Anh']",1.0832824232618823
"Spoken Languages_['Hong Kong', 'Tiếng Trung', 'Tiếng Anh']",1.0622349919707594
Production Countries_['South Korea'],1.0605726461178657
"Production Countries_['Belgium', 'Denmark', 'France', 'United States of America']",1.0552725817225967
"Production Countries_['Australia', 'Denmark', 'United States of America']",1.0372970702233426
"Spoken Languages_['Tiếng Đức', 'Tiếng Anh', 'Tiếng Pháp', 'Tiếng Ý']",1.0222789268111785
"Production Countries_['Canada', 'Serbia', 'United States of America']",1.0152122300633522
